BEGIN_DATE,COUNTY_NAME,BEGIN_LOCATION,avg_temp_f,max_temp_f,min_temp_f,precip_in
2015-04-03,ESTILL CO.,CRYSTAL,59.1,64.8,44.1,1.22
2015-04-03,FLOYD CO.,BONANZA,61.2,68.3,48.3,1.31
2015-04-03,JACKSON CO.,CLOVER BOTTOM,60.0,68.0,46.3,1.06
2015-04-03,PIKE CO.,PIKEVILLE,61.7,70.0,50.9,0.93
2015-04-03,SPENCER CO.,ELK CREEK,58.7,65.5,45.0,2.65
2015-04-03,ANDERSON CO.,LAWRENCEBURG,59.1,66.2,45.4,2.67
2015-04-03,BATH CO.,OWINGSVILLE,58.8,64.3,45.6,2.69
2015-04-03,BATH CO.,SALT LICK,58.8,64.3,45.6,2.69
2015-04-03,BREATHITT CO.,LAWSON,60.3,68.0,46.7,0.88
2015-04-03,BREATHITT CO.,OAKDALE,58.5,68.2,45.6,2.09
2015-04-03,BRECKINRIDGE CO.,HARDINSBURG ARPT,58.7,66.1,44.0,2.55
2015-04-03,BULLITT CO.,BARRALLTON,59.7,67.5,45.6,2.67
2015-04-03,ELLIOTT CO.,BRUIN,59.0,66.3,46.7,2.09
2015-04-03,ESTILL CO.,IRVINE,59.1,64.8,44.1,1.22
2015-04-03,ESTILL CO.,NORTH IRVINE,59.1,64.8,44.1,1.22
2015-04-03,ESTILL CO.,PRYSE,59.1,64.8,44.1,1.22
2015-04-03,FAYETTE CO.,LEXINGTON,58.6,66.4,43.4,2.67
2015-04-03,FLOYD CO.,PRESTONSBURG,61.2,68.3,48.3,1.31
2015-04-03,FLOYD CO.,RISNER,61.2,68.3,48.3,1.31
2015-04-03,FRANKLIN CO.,PEAKS MILL,59.0,66.4,45.4,2.62
2015-04-03,JEFFERSON CO.,(LOU)BOWMAN FLD LOUI,85.0,96.4,74.4,0.0
2015-04-03,JEFFERSON CO.,AUDUBON PARK,58.9,66.6,45.3,2.19
2015-04-03,JEFFERSON CO.,LOUISVILLE,58.2,66.9,44.8,2.03
2015-04-03,JEFFERSON CO.,NEWBURG,58.9,66.6,45.3,2.19
2015-04-03,JEFFERSON CO.,PLEASURE RIDGE PARK,70.8,77.5,66.4,0.56
2015-04-03,JEFFERSON CO.,SMYRNA,58.9,66.6,45.3,2.19
2015-04-03,KNOTT CO.,MOUSIE,61.2,68.3,48.3,1.31
2015-04-03,LAWRENCE CO.,WEBBVILLE,59.0,66.3,46.7,2.09
2015-04-03,LEE CO.,PRIMROSE,60.2,67.3,45.9,1.0
2015-04-03,LINCOLN CO.,WAYNESBURG,60.2,68.4,46.0,1.34
2015-04-03,MADISON CO.,WHITE HALL,48.0,50.4,44.4,0.14
2015-04-03,MAGOFFIN CO.,FORAKER,60.0,66.6,45.0,1.18
2015-04-03,MEADE CO.,HAYSVILLE,58.7,66.0,44.5,2.34
2015-04-03,MONTGOMERY CO.,EWINGTON,59.1,66.4,43.8,2.45
2015-04-03,MONTGOMERY CO.,MT STERLING,13.2,25.0,0.2,0.0
2015-04-03,OHIO CO.,BELLS RUN,59.7,67.8,45.6,2.56
2015-04-03,OLDHAM CO.,CENTERFIELD,58.0,65.7,44.3,1.87
2015-04-03,OWSLEY CO.,BOONEVILLE,60.2,67.3,45.9,1.0
2015-04-03,PIKE CO.,KIMPER,61.7,70.0,50.9,0.93
2015-04-03,POWELL CO.,NATURAL BRIDGE,77.4,87.1,72.2,0.15
2015-04-03,POWELL CO.,WALTERSVILLE,59.7,66.0,46.0,1.33
2015-04-03,ROWAN CO.,MOREHEAD,58.4,66.5,46.0,2.46
2015-04-03,SHELBY CO.,SHELBYVILLE,59.2,65.7,45.4,2.62
2015-04-03,TRIMBLE CO.,MONITOR,57.9,66.4,45.3,1.71
2015-04-03,WOLFE CO.,BETHANY,60.3,68.0,46.7,0.88
2015-04-03,WOLFE CO.,LEE CITY,60.3,68.0,46.7,0.88
2015-07-14,BELL CO.,MIRACLE,76.2,85.5,69.4,0.09
2015-07-14,KNOTT CO.,HINDMAN,75.4,85.5,68.3,0.67
2015-07-14,MORGAN CO.,WEST LIBERTY,75.9,84.3,69.3,0.43
2015-07-14,TRIMBLE CO.,HISLE,85.7,94.8,76.6,0.0
2015-07-14,ANDERSON CO.,AVENSTOKE,77.7,87.1,70.5,0.84
2015-07-14,BELL CO.,CALVIN,76.2,85.5,69.4,0.09
2015-07-14,BELL CO.,CUBAGE,76.2,85.5,69.4,0.09
2015-07-14,BREATHITT CO.,JACKSON,75.2,85.0,67.8,0.77
2015-07-14,BREATHITT CO.,KECK,75.2,85.0,67.8,0.77
2015-07-14,BREATHITT CO.,QUICKSAND,75.2,85.0,67.8,0.77
2015-07-14,BREATHITT CO.,SEWELL,75.2,85.0,67.8,0.77
2015-07-14,CARROLL CO.,CARROLLTON,78.1,88.9,69.1,1.77
2015-07-14,CARROLL CO.,ENGLISH,78.1,88.9,69.1,1.77
2015-07-14,CARTER CO.,SMITHS CREEK,75.8,84.9,69.2,0.42
2015-07-14,FLOYD CO.,MANTON,79.5,90.0,71.7,0.05
2015-07-14,FLOYD CO.,WARCO,75.6,85.9,68.4,0.46
2015-07-14,HENRY CO.,CAMPBELLSBURG,77.5,88.4,69.7,1.68
2015-07-14,HENRY CO.,SULPHUR,78.3,89.1,70.4,0.87
2015-07-14,JEFFERSON CO.,AUDUBON PARK,79.8,91.9,71.0,0.09
2015-07-14,JEFFERSON CO.,ST REGIS PARK,79.5,91.2,70.7,0.09
2015-07-14,JEFFERSON CO.,WORTHINGTON,75.6,83.9,69.1,0.61
2015-07-14,JESSAMINE CO.,WILMORE,77.2,85.5,70.6,0.98
2015-07-14,KNOTT CO.,RITCHIE,75.4,85.5,68.3,0.67
2015-07-14,KNOX CO.,BARBOURVILLE,75.5,83.8,69.7,0.3
2015-07-14,KNOX CO.,JARVIS,59.5,60.6,58.1,0.0
2015-07-14,KNOX CO.,SPRULE,75.5,83.8,69.7,0.3
2015-07-14,LAUREL CO.,EAST BERNSTADT,76.0,82.9,69.8,0.09
2015-07-14,LAWRENCE CO.,WEBBVILLE,75.8,85.1,69.1,0.72
2015-07-14,LESLIE CO.,BEAR BRANCH,76.6,85.8,69.2,0.51
2015-07-14,LESLIE CO.,THOUSANDSTICKS,75.4,85.5,68.3,0.67
2015-07-14,LETCHER CO.,LETCHER,74.3,84.1,67.8,0.68
2015-07-14,MAGOFFIN CO.,LOGVILLE,75.5,85.1,68.8,0.53
2015-07-14,MAGOFFIN CO.,SALYERSVILLE,75.5,85.1,68.8,0.53
2015-07-14,MCCREARY CO.,GILREATH,76.8,85.0,71.4,0.15
2015-07-14,MENIFEE CO.,FRENCHBURG,75.8,85.4,68.8,0.72
2015-07-14,MENIFEE CO.,MARIBA,75.8,85.4,68.8,0.72
2015-07-14,MERCER CO.,NEVADA,77.6,86.5,70.7,0.73
2015-07-14,MORGAN CO.,INDEX,75.9,84.3,69.3,0.43
2015-07-14,NELSON CO.,BLOOMFIELD,79.5,90.0,71.7,0.05
2015-07-14,OWSLEY CO.,STURGEON,75.9,85.5,68.4,0.78
2015-07-14,PERRY CO.,DWARF,75.4,85.5,68.3,0.67
2015-07-14,PULASKI CO.,SOMERSET,78.0,86.2,72.7,0.02
2015-07-14,ROCKCASTLE CO.,CONWAY,76.4,85.1,70.2,0.27
2015-07-14,SPENCER CO.,ELK CREEK,78.7,89.0,70.6,0.91
2015-07-14,SPENCER CO.,TAYLORSVILLE,79.2,90.7,71.4,0.09
2015-07-14,TRIMBLE CO.,MONITOR,78.1,88.9,69.1,1.77
2015-07-14,TRIMBLE CO.,TROUT,78.4,88.9,71.2,1.33
2015-07-14,WAYNE CO.,OIL VLY,79.9,84.7,75.7,0.0
2015-07-14,WOLFE CO.,CAMPTON,75.9,85.5,68.4,0.78
2015-07-14,WOLFE CO.,HAZEL GREEN,75.2,85.0,67.8,0.77
2019-02-23,ADAIR CO.,MILLTOWN,53.3,60.3,44.8,1.5
2019-02-23,ALLEN CO.,MAYNARD,55.1,61.3,47.1,1.99
2019-02-23,BREATHITT CO.,PAXTON,48.9,55.6,42.4,1.62
2019-02-23,BUTLER CO.,MONFORD,55.1,62.7,45.1,1.65
2019-02-23,CALLOWAY CO.,LYNN GROVE,57.9,66.1,46.9,1.91
2019-02-23,CASEY CO.,WINDSOR,52.4,59.5,44.8,1.69
2019-02-23,CLINTON CO.,WAGO,53.8,60.4,47.3,1.9
2019-02-23,CUMBERLAND CO.,AMANDAVILLE,54.1,60.6,46.9,1.96
2019-02-23,EDMONSON CO.,HUFF,53.5,60.9,44.1,1.59
2019-02-23,EDMONSON CO.,WINDYVILLE,55.3,62.8,45.7,1.76
2019-02-23,FLOYD CO.,PRESTONSBURG,48.9,55.4,41.7,1.4
2019-02-23,GARRARD CO.,CARTERSVILLE,50.4,58.4,42.3,1.62
2019-02-23,GRAYSON CO.,SHORT CREEK,53.5,60.9,44.1,1.59
2019-02-23,GREEN CO.,GRESHAM,53.3,60.3,44.2,1.52
2019-02-23,HART CO.,PERRYVILLE,50.9,59.1,41.1,1.38
2019-02-23,HICKMAN CO.,CLINTON,57.4,64.8,46.4,1.87
2019-02-23,JOHNSON CO.,DAWKINS,49.0,55.2,42.8,1.26
2019-02-23,LARUE CO.,BUFFALO,52.2,59.7,43.5,1.45
2019-02-23,LEE CO.,OLD LNDG,80.5,81.1,80.1,0.05
2019-02-23,LINCOLN CO.,CHICKEN BRISTLE,51.3,59.2,42.4,1.52
2019-02-23,LOGAN CO.,DANBY,55.9,63.7,46.6,1.94
2019-02-23,LOGAN CO.,LEWISBURG,55.9,63.7,46.6,1.94
2019-02-23,MADISON CO.,UNION CITY,54.0,61.2,44.8,1.37
2019-02-23,MAGOFFIN CO.,FALCON,48.2,54.5,41.9,1.31
2019-02-23,MAGOFFIN CO.,SALYERSVILLE,48.2,54.5,41.9,1.31
2019-02-23,MARTIN CO.,DEBORD,49.0,55.2,42.8,1.26
2019-02-23,METCALFE CO.,ESTES,13.2,20.4,8.6,0.03
2019-02-23,MONROE CO.,OTIA,54.5,60.4,47.1,2.03
2019-02-23,MORGAN CO.,BURG,47.5,57.5,40.3,0.0
2019-02-23,MORGAN CO.,MIZE,48.9,56.8,41.5,1.32
2019-02-23,OHIO CO.,HARTFORD,54.6,63.0,44.8,1.49
2019-02-23,RUSSELL CO.,WHITTLE,52.4,59.5,44.8,1.69
2019-02-23,SIMPSON CO.,FRANKLIN,55.9,62.8,47.1,2.08
2019-02-23,SIMPSON CO.,MIDDLETON,55.9,62.8,47.1,2.08
2019-02-23,TAYLOR CO.,HOBSON,52.8,60.1,43.9,1.56
2019-02-23,TODD CO.,TRENTON,56.8,64.5,47.5,1.99
2019-02-23,TRIGG CO.,CADIZ,79.0,81.1,76.8,0.11
2019-02-23,WARREN CO.,BOWLING GREEN,55.3,62.8,45.7,1.76
2019-02-23,WOLFE CO.,BETHANY,48.9,55.6,42.4,1.62
2019-02-23,WOLFE CO.,CAMPTON,49.5,56.2,42.8,1.8
2019-02-23,WOLFE CO.,LEE CITY,48.9,55.6,42.4,1.62
2023-01-03,BULLITT CO.,MT WASHINGTON,60.6,65.7,55.4,1.42
2023-01-03,GRANT CO.,CORDOVA,59.4,64.2,55.3,2.04
2023-01-03,GRAYSON CO.,SKAGGSTOWN,61.1,65.7,56.9,1.46
2023-01-03,MEADE CO.,MULDRAUGH,61.2,65.7,57.4,1.41
2023-01-03,PENDLETON CO.,FOUR OAKS,60.1,65.3,56.5,2.06
2023-01-03,BOURBON CO.,ELIZABETH STATION,61.5,65.8,56.8,1.54
2023-01-03,BRACKEN CO.,MILFORD,60.1,65.3,56.5,2.06
2023-01-03,BRECKINRIDGE CO.,FAIRFIELD,61.0,65.9,56.1,1.69
2023-01-03,BRECKINRIDGE CO.,HIGH PLAINS,60.9,65.7,57.5,1.12
2023-01-03,BULLITT CO.,BROOKS,61.4,66.4,56.5,1.52
2023-01-03,BULLITT CO.,HUBERS,44.7,47.8,40.2,0.13
2023-01-03,BUTLER CO.,BOSTON,60.9,66.1,56.2,1.44
2023-01-03,CALLOWAY CO.,POTTERTOWN,64.4,68.8,61.0,1.21
2023-01-03,CHRISTIAN CO.,PEEDEE,63.6,67.0,58.3,1.64
2023-01-03,FAYETTE CO.,VILEY,60.2,64.3,55.6,2.05
2023-01-03,GRANT CO.,DOWINGSVILLE,69.8,71.1,67.8,1.45
2023-01-03,GRAYSON CO.,MEREDITH,61.1,65.7,56.9,1.46
2023-01-03,GRAYSON CO.,PEONIA,61.1,65.7,56.9,1.46
2023-01-03,HARDIN CO.,EASTVIEW,61.1,65.7,56.9,1.46
2023-01-03,HARDIN CO.,GAITHERS,61.2,65.8,56.7,1.43
2023-01-03,HARDIN CO.,TUNNEL HILL,63.7,67.5,61.5,0.35
2023-01-03,HARRISON CO.,SYLVANDELL,60.7,64.9,56.2,1.58
2023-01-03,JEFFERSON CO.,BECKLEY,60.7,65.7,56.3,1.49
2023-01-03,JEFFERSON CO.,HIGHVIEW,61.1,66.6,55.8,1.25
2023-01-03,JEFFERSON CO.,SMYRNA,61.1,66.6,55.8,1.25
2023-01-03,MUHLENBERG CO.,CENTRAL CITY,62.8,67.1,59.4,1.06
2023-01-03,NELSON CO.,BLOOMFIELD,61.0,65.9,56.1,1.69
2023-01-03,NELSON CO.,NELSONVILLE,60.9,66.1,56.2,1.44
2023-01-03,OHIO CO.,BEAVER DAM,62.0,66.7,56.9,0.86
2023-01-03,OHIO CO.,TAYLOR MINES,61.1,66.6,55.8,1.25
2023-01-03,OWEN CO.,GRATZ,42.5,52.5,33.6,0.05
2023-01-03,OWEN CO.,TACKETTS MILL,60.0,64.8,55.3,1.85
2023-01-03,PENDLETON CO.,MARCUS,59.4,64.2,55.3,2.04
2023-01-03,ROBERTSON CO.,PIQUA,60.3,64.2,55.7,2.19
2023-01-03,SPENCER CO.,ELK CREEK,60.0,65.3,54.8,1.68
2023-01-03,TRIGG CO.,TRIGG FURNACE,62.8,66.8,57.5,1.13
2023-01-03,WARREN CO.,BROWNING,62.2,66.3,58.2,1.6
2025-02-15,CALLOWAY CO.,MURRAY,46.6,58.1,41.5,4.42
2025-02-15,WEBSTER CO.,ELMWOOD,42.6,48.1,38.4,3.26
2025-02-15,ADAIR CO.,COLUMBIA,48.4,58.2,40.7,2.24
2025-02-15,ADAIR CO.,PORTLAND,37.7,47.1,31.8,1.34
2025-02-15,ALLEN CO.,SCOTTSVILLE,51.0,61.5,40.5,1.84
2025-02-15,BALLARD CO.,GAGE,41.6,44.0,37.9,3.56
2025-02-15,CALDWELL CO.,CEDAR BLUFF,42.8,46.4,39.3,4.23
2025-02-15,CALLOWAY CO.,ALMO,46.6,58.1,41.5,4.42
2025-02-15,CALLOWAY CO.,LYNN GROVE,46.6,58.1,41.5,4.42
2025-02-15,CALLOWAY CO.,NEW CONCORD,46.6,58.1,41.5,4.42
2025-02-15,CARLISLE CO.,ARLINGTON,42.6,46.4,40.5,4.37
2025-02-15,CARLISLE CO.,CUNNINGHAM,41.6,44.0,37.9,3.56
2025-02-15,CARLISLE CO.,MILBURN,42.6,46.4,40.5,4.37
2025-02-15,CASEY CO.,LIBERTY,43.6,55.7,36.7,2.48
2025-02-15,CHRISTIAN CO.,GAINSVILLE,74.3,79.7,71.0,0.0
2025-02-15,CHRISTIAN CO.,PEMBROKE,45.3,59.2,40.4,5.31
2025-02-15,CRITTENDEN CO.,FRANCES,41.8,47.1,38.2,3.13
2025-02-15,CRITTENDEN CO.,NEW SALEM,41.8,47.1,38.2,3.13
2025-02-15,CUMBERLAND CO.,DOUGAN TOWN,49.7,59.8,41.1,2.26
2025-02-15,DAVIESS CO.,PETTIT,42.6,51.6,37.0,3.37
2025-02-15,FULTON CO.,ANNA LYNNE,42.2,44.8,39.9,4.07
2025-02-15,FULTON CO.,CAYCE,42.2,44.8,39.9,4.07
2025-02-15,GRAVES CO.,BALTIMORE,43.3,47.6,40.5,4.56
2025-02-15,GRAVES CO.,HOLIFIELD,43.3,47.6,40.5,4.56
2025-02-15,GRAVES CO.,VIOLA,43.3,47.6,40.5,4.56
2025-02-15,HARDIN CO.,GLENDALE JCT,42.8,57.2,36.8,3.15
2025-02-15,HART CO.,BONNIEVILLE,47.0,58.4,39.1,3.47
2025-02-15,HICKMAN CO.,BEULAH,43.2,47.6,40.2,4.0
2025-02-15,HICKMAN CO.,CROLEY,74.3,79.7,71.0,0.0
2025-02-15,HICKMAN CO.,WATTS,42.4,54.3,34.9,2.21
2025-02-15,HOPKINS CO.,NEBO,69.6,80.5,59.8,0.0
2025-02-15,HOPKINS CO.,NORTONVILLE,43.4,48.7,39.4,3.97
2025-02-15,LOGAN CO.,COOPERSTOWN,47.7,60.6,40.3,3.75
2025-02-15,LYON CO.,KUTTAWA,42.6,45.1,39.7,4.34
2025-02-15,MARSHALL CO.,BENTON,43.5,49.6,40.5,4.7
2025-02-15,MARSHALL CO.,BREWERS,43.5,49.6,40.5,4.7
2025-02-15,MCCRACKEN CO.,KREBS,41.9,45.0,39.5,3.88
2025-02-15,MCCRACKEN CO.,OAKS,46.7,55.5,37.0,1.56
2025-02-15,MCLEAN CO.,WRIGHTBURG,74.3,79.7,71.0,0.0
2025-02-15,MONROE CO.,FLIPPIN,50.0,58.9,40.6,1.74
2025-02-15,MUHLENBERG CO.,CENTRAL CITY,43.4,47.3,39.5,4.02
2025-02-15,OHIO CO.,BEAVER DAM,41.8,46.2,38.7,3.78
2025-02-15,OHIO CO.,HORTON,41.8,46.2,38.7,3.78
2025-02-15,OHIO CO.,JINGO,41.8,46.2,38.7,3.78
2025-02-15,OLDHAM CO.,CRESTWOOD,38.3,44.6,34.8,1.88
2025-02-15,OLDHAM CO.,PEWEE VLY,83.7,88.9,79.4,0.02
2025-02-15,SCOTT CO.,LONGLICK,40.8,47.1,34.7,2.82
2025-02-15,SCOTT CO.,SADIEVILLE,40.8,47.1,34.7,2.82
2025-02-15,SIMPSON CO.,BLACK JACK,50.5,61.2,41.0,2.17
2025-02-15,SIMPSON CO.,FRANKLIN,50.5,61.2,41.0,2.17
2025-02-15,SIMPSON CO.,FRANKLIN WHAK ARPT,50.5,61.2,41.0,2.17
2025-02-15,TODD CO.,GUTHRIE,48.3,62.6,40.7,4.62
2025-02-15,TRIGG CO.,CERULEAN,43.7,47.1,41.4,4.45
2025-02-15,TRIGG CO.,ROARING SPG,43.7,47.1,41.4,4.45
2025-02-15,WARREN CO.,BOWLING GREEN,49.2,60.7,40.3,2.78
2025-02-15,WARREN CO.,BROWNING,49.2,60.7,40.3,2.78
2025-02-15,WARREN CO.,COHRON,74.3,79.7,71.0,0.0
2025-02-15,WEBSTER CO.,CLAY,42.1,47.0,38.9,3.25
2025-02-15,WEBSTER CO.,LUZON,78.5,85.5,74.4,0.54
