BEGIN_DATE,COUNTY_NAME,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,TOTAL_EVENTS
2015-04-03,FLOYD CO.,BONANZA,37.69,-82.86,2
2015-04-03,ANDERSON CO.,LAWRENCEBURG,38.0229,-84.8866,1
2015-04-03,BATH CO.,OWINGSVILLE,38.14,-83.76,1
2015-04-03,BATH CO.,SALT LICK,38.11,-83.63,1
2015-04-03,BREATHITT CO.,LAWSON,37.6,-83.46,1
2015-04-03,BREATHITT CO.,OAKDALE,37.57,-83.51,1
2015-04-03,BRECKINRIDGE CO.,HARDINSBURG ARPT,37.8162,-86.4244,1
2015-04-03,BULLITT CO.,BARRALLTON,38.0305,-85.8091,1
2015-04-03,ELLIOTT CO.,BRUIN,38.19,-83.02,1
2015-04-03,ESTILL CO.,CRYSTAL,37.6598,-83.8171,1
2015-04-03,ESTILL CO.,CRYSTAL,37.66,-83.83,1
2015-04-03,ESTILL CO.,IRVINE,37.71,-83.97,1
2015-04-03,ESTILL CO.,NORTH IRVINE,37.7374,-83.9628,1
2015-04-03,ESTILL CO.,PRYSE,37.6892,-83.8588,1
2015-04-03,FAYETTE CO.,LEXINGTON,38.0426,-84.512,1
2015-04-03,FLOYD CO.,PRESTONSBURG,37.67,-82.78,1
2015-04-03,FLOYD CO.,RISNER,37.57,-82.83,1
2015-04-03,FRANKLIN CO.,PEAKS MILL,38.3075,-84.8295,1
2015-04-03,JACKSON CO.,CLOVER BOTTOM,37.48,-84.13,1
2015-04-03,JACKSON CO.,CLOVER BOTTOM,37.49,-84.12,1
2015-04-03,JEFFERSON CO.,(LOU)BOWMAN FLD LOUI,38.21,-85.67,1
2015-04-03,JEFFERSON CO.,AUDUBON PARK,38.2238,-85.7295,1
2015-04-03,JEFFERSON CO.,LOUISVILLE,38.23,-85.78,1
2015-04-03,JEFFERSON CO.,NEWBURG,38.16,-85.7,1
2015-04-03,JEFFERSON CO.,PLEASURE RIDGE PARK,38.1493,-85.7667,1
2015-04-03,JEFFERSON CO.,SMYRNA,38.15,-85.66,1
2015-04-03,KNOTT CO.,MOUSIE,37.4467,-82.8661,1
2015-04-03,LAWRENCE CO.,WEBBVILLE,38.18,-82.87,1
2015-04-03,LEE CO.,PRIMROSE,37.6,-83.61,1
2015-04-03,LINCOLN CO.,WAYNESBURG,37.2242,-84.7511,1
2015-04-03,MADISON CO.,WHITE HALL,37.8217,-84.3291,1
2015-04-03,MAGOFFIN CO.,FORAKER,37.66,-83.15,1
2015-04-03,MEADE CO.,HAYSVILLE,37.926,-86.3098,1
2015-04-03,MONTGOMERY CO.,EWINGTON,38.06,-83.89,1
2015-04-03,MONTGOMERY CO.,MT STERLING,38.06,-83.95,1
2015-04-03,OHIO CO.,BELLS RUN,37.6028,-86.9142,1
2015-04-03,OLDHAM CO.,CENTERFIELD,38.3549,-85.3913,1
2015-04-03,OWSLEY CO.,BOONEVILLE,37.48,-83.65,1
2015-04-03,PIKE CO.,KIMPER,37.49,-82.36,1
2015-04-03,PIKE CO.,PIKEVILLE,37.47,-82.5,1
2015-04-03,PIKE CO.,PIKEVILLE,37.5312,-82.5845,1
2015-04-03,POWELL CO.,NATURAL BRIDGE,37.77,-83.68,1
2015-04-03,POWELL CO.,WALTERSVILLE,37.86,-83.93,1
2015-04-03,ROWAN CO.,MOREHEAD,38.19,-83.44,1
2015-04-03,SHELBY CO.,SHELBYVILLE,38.22,-85.23,1
2015-04-03,SPENCER CO.,ELK CREEK,38.0994,-85.3742,1
2015-04-03,SPENCER CO.,ELK CREEK,38.1023,-85.3699,1
2015-04-03,TRIMBLE CO.,MONITOR,38.6076,-85.2676,1
2015-04-03,WOLFE CO.,BETHANY,37.65,-83.47,1
2015-04-03,WOLFE CO.,LEE CITY,37.74,-83.33,1
