BEGIN_DATE,COUNTY_NAME,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,TOTAL_EVENTS,TEMP,PRECIP,HUMIDITY,WINDSPEED
2015-04-03,FLOYD CO.,BONANZA,37.69,-82.86,2,59.4,3.943,89.0,15.8
2015-04-03,ANDERSON CO.,LAWRENCEBURG,38.0229,-84.8866,1,57.9,3.287,90.4,19.2
2015-04-03,BATH CO.,OWINGSVILLE,38.14,-83.76,1,56.7,2.893,94.4,16.4
2015-04-03,BATH CO.,SALT LICK,38.11,-83.63,1,57.0,3.203,93.5,16.1
2015-04-03,BREATHITT CO.,LAWSON,37.6,-83.46,1,58.4,4.268,90.0,16.9
2015-04-03,BREATHITT CO.,OAKDALE,37.57,-83.51,1,58.3,4.326,90.6,16.9
2015-04-03,BRECKINRIDGE CO.,HARDINSBURG ARPT,37.8162,-86.4244,1,58.5,2.023,86.2,22.0
2015-04-03,BULLITT CO.,BARRALLTON,38.0305,-85.8091,1,59.5,4.092,86.6,24.3
2015-04-03,ELLIOTT CO.,BRUIN,38.19,-83.02,1,58.2,2.792,94.3,11.6
2015-04-03,ESTILL CO.,CRYSTAL,37.6598,-83.8171,1,57.8,3.847,91.8,16.1
2015-04-03,ESTILL CO.,CRYSTAL,37.66,-83.83,1,57.7,3.82,91.9,16.1
2015-04-03,ESTILL CO.,IRVINE,37.71,-83.97,1,57.3,3.465,92.8,16.1
2015-04-03,ESTILL CO.,NORTH IRVINE,37.7374,-83.9628,1,57.2,3.393,93.0,16.1
2015-04-03,ESTILL CO.,PRYSE,37.6892,-83.8588,1,57.6,3.702,92.2,16.1
2015-04-03,FAYETTE CO.,LEXINGTON,38.0426,-84.512,1,58.0,4.884,91.4,21.7
2015-04-03,FLOYD CO.,PRESTONSBURG,37.67,-82.78,1,59.7,4.378,89.6,16.3
2015-04-03,FLOYD CO.,RISNER,37.57,-82.83,1,59.3,3.327,88.0,16.0
2015-04-03,FRANKLIN CO.,PEAKS MILL,38.3075,-84.8295,1,57.8,4.35,90.0,19.4
2015-04-03,JACKSON CO.,CLOVER BOTTOM,37.48,-84.13,1,62.7,0.941,75.8,15.0
2015-04-03,JACKSON CO.,CLOVER BOTTOM,37.49,-84.12,1,61.9,1.274,77.0,15.2
2015-04-03,JEFFERSON CO.,(LOU)BOWMAN FLD LOUI,38.21,-85.67,1,59.2,4.761,87.3,16.6
2015-04-03,JEFFERSON CO.,AUDUBON PARK,38.2238,-85.7295,1,59.6,5.287,86.0,22.6
2015-04-03,JEFFERSON CO.,LOUISVILLE,38.23,-85.78,1,59.7,5.39,85.7,24.0
2015-04-03,JEFFERSON CO.,NEWBURG,38.16,-85.7,1,59.8,5.494,85.4,25.5
2015-04-03,JEFFERSON CO.,PLEASURE RIDGE PARK,38.1493,-85.7667,1,59.9,5.555,85.2,26.3
2015-04-03,JEFFERSON CO.,SMYRNA,38.15,-85.66,1,59.6,5.285,86.0,22.6
2015-04-03,KNOTT CO.,MOUSIE,37.4467,-82.8661,1,58.9,3.046,87.8,16.8
