EVENT_ID,BEGIN_DATE,END_DATE,BEGIN_TIME,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
564702,2015-04-03,2015-04-03,348,348,38.15,-85.66,38.1536,-85.6547
564703,2015-04-03,2015-04-03,354,354,38.16,-85.7,38.1633,-85.6969
564704,2015-04-03,2015-04-03,400,400,38.0229,-84.8866,38.0243,-84.8836
564706,2015-04-03,2015-04-03,400,400,38.0994,-85.3742,38.1038,-85.3727
564705,2015-04-03,2015-04-03,400,400,38.23,-85.78,38.2296,-85.7792
564707,2015-04-03,2015-04-03,427,427,38.2238,-85.7295,38.2257,-85.7293
566660,2015-04-03,2015-04-03,430,645,37.86,-83.93,37.8498,-83.935
564708,2015-04-03,2015-04-03,522,522,38.21,-85.67,38.2107,-85.6669
566661,2015-04-03,2015-04-03,525,625,37.65,-83.47,37.6545,-83.4682
566663,2015-04-03,2015-04-03,545,830,37.6892,-83.8588,37.6886,-83.8589
566666,2015-04-03,2015-04-03,545,830,37.7374,-83.9628,37.7396,-83.9607
566669,2015-04-03,2015-04-03,545,645,37.77,-83.68,37.7749,-83.6803
566664,2015-04-03,2015-04-03,545,830,37.66,-83.83,37.66,-83.8258
566673,2015-04-03,2015-04-03,605,830,37.6,-83.61,37.5889,-83.6125
566675,2015-04-03,2015-04-03,630,1119,37.66,-83.15,37.6562,-83.1394
566683,2015-04-03,2015-04-03,645,922,37.6,-83.46,37.6061,-83.4631
566685,2015-04-03,2015-04-03,655,923,37.57,-83.51,37.5691,-83.5373
566698,2015-04-03,2015-04-03,715,1119,37.69,-82.86,37.702,-82.8531
566699,2015-04-03,2015-04-03,730,1119,37.57,-82.83,37.5764,-82.8177
566700,2015-04-03,2015-04-03,730,922,37.74,-83.33,37.7475,-83.3348
566701,2015-04-03,2015-04-03,750,923,37.71,-83.97,37.7072,-83.9716
566703,2015-04-03,2015-04-03,757,923,37.49,-84.12,37.4796,-84.1189
566704,2015-04-03,2015-04-03,807,923,37.48,-84.13,37.4879,-84.13
566747,2015-04-03,2015-04-03,830,922,37.6598,-83.8171,37.6219,-83.8216
566706,2015-04-03,2015-04-03,830,923,37.69,-82.86,37.695,-82.861
566707,2015-04-03,2015-04-03,845,923,37.48,-83.65,37.4798,-83.6591
564709,2015-04-03,2015-04-03,848,848,37.8162,-86.4244,37.8165,-86.4211
564714,2015-04-03,2015-04-03,848,848,37.6028,-86.9142,37.5977,-86.9093
566717,2015-04-03,2015-04-03,900,1119,37.49,-82.36,37.4772,-82.3578
569334,2015-04-03,2015-04-03,900,930,37.67,-82.78,37.681,-82.7816
566716,2015-04-03,2015-04-03,900,1119,37.47,-82.5,37.449,-82.4929
564712,2015-04-03,2015-04-03,948,948,38.1493,-85.7667,38.1222,-85.7504
564711,2015-04-03,2015-04-03,948,948,38.0426,-84.512,38.0413,-84.5115
564710,2015-04-03,2015-04-03,948,948,38.0305,-85.8091,38.0294,-85.8081
564716,2015-04-03,2015-04-03,948,948,38.1023,-85.3699,38.1036,-85.3669
564715,2015-04-03,2015-04-03,948,948,38.22,-85.23,38.2207,-85.2243
564713,2015-04-03,2015-04-03,948,948,37.8217,-84.3291,37.8221,-84.3252
569325,2015-04-03,2015-04-03,1100,1145,37.4467,-82.8661,37.4247,-82.885
569329,2015-04-03,2015-04-03,1100,1115,37.5312,-82.5845,37.5261,-82.579
564720,2015-04-03,2015-04-03,1153,1153,38.6076,-85.2676,38.6049,-85.2635
564718,2015-04-03,2015-04-03,1153,1153,37.926,-86.3098,37.9299,-86.3047
564717,2015-04-03,2015-04-03,1153,1153,37.2242,-84.7511,37.2317,-84.7558
564719,2015-04-03,2015-04-03,1153,1153,38.3549,-85.3913,38.3563,-85.3879
564721,2015-04-03,2015-04-03,1306,1306,38.3075,-84.8295,38.307,-84.8171
566719,2015-04-03,2015-04-03,1630,2330,38.11,-83.63,38.087,-83.6317
566720,2015-04-03,2015-04-03,1658,2330,38.14,-83.76,38.1201,-83.7656
566721,2015-04-03,2015-04-03,1701,2330,38.06,-83.95,38.0338,-83.9507
566725,2015-04-03,2015-04-03,1705,2330,38.19,-83.44,38.1717,-83.4451
566727,2015-04-03,2015-04-03,1708,2330,38.06,-83.89,38.0411,-83.9101
566726,2015-04-03,2015-04-03,1708,2330,38.19,-83.02,38.1856,-83.0245
558324,2015-04-03,2015-04-03,1745,2100,38.18,-82.87,38.0,-82.92
569343,2015-04-07,2015-04-07,845,1121,36.9531,-84.0894,36.9517,-84.0885
569346,2015-04-07,2015-04-07,910,1010,36.8685,-83.8859,36.8654,-83.8544
569347,2015-04-07,2015-04-07,1028,1058,36.8605,-83.8512,36.857,-83.8423
564734,2015-04-07,2015-04-07,1745,1745,38.28,-84.87,38.2832,-84.8671
569335,2015-04-07,2015-04-07,1850,1930,37.7,-83.97,37.6681,-83.9754
569336,2015-04-07,2015-04-07,1910,1940,37.69,-83.95,37.6803,-83.938
569337,2015-04-07,2015-04-07,1944,2044,37.7,-83.97,37.6627,-83.9637
569338,2015-04-07,2015-04-07,1959,2030,37.69,-83.93,37.6864,-83.907
565631,2015-04-08,2015-04-08,1700,1900,38.47,-84.84,38.37,-84.84
570937,2015-05-17,2015-05-17,1552,1700,36.7639,-87.1357,36.8599,-87.101
570936,2015-05-17,2015-05-17,1555,1700,36.7571,-87.3715,36.7936,-87.3866
582701,2015-06-03,2015-06-03,1810,2000,37.39,-82.56,37.379,-82.564
575804,2015-06-18,2015-06-18,1718,1718,38.21,-85.76,38.2114,-85.7628
575808,2015-06-18,2015-06-18,1736,1736,38.25,-84.59,38.2509,-84.5883
579525,2015-06-21,2015-06-21,2014,2215,37.7789,-87.0838,37.7859,-87.1381
576534,2015-06-26,2015-06-26,24,24,38.05,-85.9,38.0558,-85.8938
576536,2015-06-26,2015-06-26,206,206,37.61,-84.4,37.6096,-84.3969
576537,2015-06-26,2015-06-26,210,210,37.58,-84.29,37.5737,-84.2976
576538,2015-06-26,2015-06-26,300,300,37.7,-84.53,37.7073,-84.527
579552,2015-06-26,2015-06-26,1400,1500,36.92,-88.87,36.923,-88.9501
579557,2015-06-26,2015-06-26,1430,1624,36.8324,-88.6765,36.7768,-88.6659
579554,2015-06-26,2015-06-26,1505,1615,36.7526,-89.0857,36.7158,-89.0607
574805,2015-06-29,2015-06-29,1750,1850,38.5711,-82.8333,38.5664,-82.9735
583509,2015-07-01,2015-07-01,1915,2200,37.0713,-84.8088,37.0606,-84.8092
583510,2015-07-01,2015-07-01,2015,2306,37.0535,-84.6104,37.0595,-84.6717
583512,2015-07-01,2015-07-01,2120,2300,37.32,-83.96,37.3207,-83.9603
583635,2015-07-02,2015-07-02,1451,1451,37.2462,-86.4329,37.2462,-86.4379
583637,2015-07-02,2015-07-02,1514,1514,36.97,-85.96,36.9756,-85.9697
583638,2015-07-02,2015-07-02,1608,1608,37.0101,-85.8804,37.0163,-85.8644
583639,2015-07-02,2015-07-02,1620,1620,36.9669,-85.9136,36.9673,-85.9111
583526,2015-07-02,2015-07-02,1715,1925,38.06,-83.96,38.0535,-83.9718
583569,2015-07-02,2015-07-03,2323,115,37.1338,-84.0759,37.1332,-84.0756
583547,2015-07-03,2015-07-03,412,600,37.8502,-83.9424,37.8736,-83.9555
583553,2015-07-03,2015-07-03,1025,1315,37.13,-84.08,37.1406,-84.0834
583640,2015-07-03,2015-07-03,1050,1050,37.3382,-85.3434,37.3472,-85.3281
583556,2015-07-03,2015-07-03,1204,1315,37.083,-84.1066,37.0816,-84.1069
583559,2015-07-03,2015-07-03,1318,1545,37.8821,-83.9275,37.8966,-83.925
583560,2015-07-03,2015-07-03,1325,1545,37.97,-83.83,37.9682,-83.8314
583641,2015-07-03,2015-07-03,1444,1444,37.23,-86.45,37.248,-86.4454
583642,2015-07-03,2015-07-03,1513,1513,37.19,-86.26,37.2074,-86.2574
583643,2015-07-03,2015-07-03,1537,1537,38.0472,-84.4672,38.0647,-84.4873
588933,2015-07-03,2015-07-03,1545,1655,37.0925,-87.5899,37.024,-87.5926
583644,2015-07-03,2015-07-03,1549,1549,37.9881,-84.5839,38.0021,-84.5851
583645,2015-07-03,2015-07-03,1616,1616,37.7572,-84.8539,37.7594,-84.8538
583646,2015-07-03,2015-07-03,1643,1643,37.57,-85.74,37.5813,-85.7493
583647,2015-07-03,2015-07-03,1740,1740,37.5733,-85.7515,37.5774,-85.751
575665,2015-07-03,2015-07-03,1800,2000,38.3,-83.28,38.2878,-83.1535
588935,2015-07-03,2015-07-03,1830,2130,37.67,-87.2,37.6113,-87.1976
585376,2015-07-03,2015-07-03,1844,1844,37.81,-86.44,37.8106,-86.4504
585379,2015-07-03,2015-07-03,1857,1857,37.45,-86.89,37.4465,-86.9116
583564,2015-07-03,2015-07-03,2049,2315,37.0313,-83.9555,37.0143,-83.9575
583834,2015-07-04,2015-07-05,2350,130,37.12,-84.37,37.1343,-84.3709
583839,2015-07-05,2015-07-05,220,530,36.92,-84.13,36.9124,-84.1318
581228,2015-07-05,2015-07-05,519,519,36.73,-86.57,36.7351,-86.5565
581230,2015-07-05,2015-07-05,600,600,36.74,-86.49,36.7417,-86.4855
581231,2015-07-05,2015-07-05,623,623,36.7444,-86.4797,36.7464,-86.4728
581232,2015-07-05,2015-07-05,747,747,36.72,-86.54,36.7192,-86.5395
581233,2015-07-05,2015-07-05,756,756,36.7,-86.05,36.7019,-86.0377
581235,2015-07-05,2015-07-05,800,800,36.75,-86.19,36.7533,-86.1975
581236,2015-07-05,2015-07-05,800,800,36.76,-86.19,36.7599,-86.1865
581238,2015-07-05,2015-07-05,821,821,36.77,-86.17,36.7744,-86.168
581239,2015-07-05,2015-07-05,822,822,36.7253,-86.1875,36.7343,-86.1908
583840,2015-07-05,2015-07-05,1425,1500,37.36,-82.5,37.3621,-82.5061
583841,2015-07-05,2015-07-05,1840,1930,36.72,-83.56,36.7178,-83.5594
583842,2015-07-05,2015-07-05,2025,2300,37.8965,-82.7337,37.8704,-82.8288
583849,2015-07-05,2015-07-05,2120,2300,37.7169,-82.7998,37.6961,-82.8732
588613,2015-07-07,2015-07-07,450,800,36.95,-88.73,37.1429,-88.7407
597503,2015-07-08,2015-07-08,800,900,36.6957,-83.9703,36.7012,-83.959
583853,2015-07-08,2015-07-08,800,900,36.68,-84.05,36.6778,-84.0429
597505,2015-07-08,2015-07-08,815,900,36.6146,-84.0878,36.614,-84.0907
587368,2015-07-09,2015-07-09,134,400,36.9963,-88.8083,37.0475,-88.8238
577453,2015-07-10,2015-07-10,1510,1800,38.43,-82.77,38.5073,-82.6955
581785,2015-07-12,2015-07-12,600,600,38.59,-85.32,38.5979,-85.3192
581787,2015-07-12,2015-07-12,615,615,38.2703,-85.7013,38.2738,-85.703
581788,2015-07-12,2015-07-12,652,652,38.31,-85.49,38.3282,-85.474
581789,2015-07-12,2015-07-12,710,710,38.03,-85.34,38.0266,-85.3393
581791,2015-07-12,2015-07-12,715,715,38.25,-85.64,38.2719,-85.579
581793,2015-07-12,2015-07-12,716,716,38.3254,-85.4539,38.3314,-85.4558
581797,2015-07-12,2015-07-12,723,723,38.2713,-85.6546,38.28,-85.6408
581799,2015-07-12,2015-07-12,743,743,38.2289,-85.5698,38.247,-85.5737
581801,2015-07-12,2015-07-12,749,749,38.26,-85.59,38.2786,-85.5983
581802,2015-07-12,2015-07-12,751,751,38.2,-85.61,38.2037,-85.5938
581805,2015-07-12,2015-07-12,753,753,38.25,-85.64,38.2553,-85.6044
581809,2015-07-12,2015-07-12,810,810,38.22,-85.23,38.2323,-85.234
581811,2015-07-12,2015-07-12,814,814,38.05,-85.55,38.0582,-85.5346
581812,2015-07-12,2015-07-12,846,846,38.22,-85.74,38.2257,-85.7412
581815,2015-07-12,2015-07-12,859,859,38.23,-85.64,38.2333,-85.636
581828,2015-07-12,2015-07-12,930,930,37.64,-85.0,37.6458,-85.0019
581848,2015-07-12,2015-07-12,1903,1903,37.65,-84.65,37.6544,-84.6476
584088,2015-07-13,2015-07-13,1418,1600,38.4178,-83.9375,38.4209,-83.9213
584252,2015-07-13,2015-07-13,1426,1426,38.16,-85.6,38.1602,-85.6033
584256,2015-07-13,2015-07-13,1440,1440,38.03,-84.48,38.0323,-84.4768
584089,2015-07-13,2015-07-13,1530,1700,38.2759,-83.3295,38.2597,-83.3191
584092,2015-07-13,2015-07-13,1550,1900,37.9371,-82.8799,37.8888,-82.8632
584095,2015-07-13,2015-07-13,1600,1730,37.9547,-83.0474,37.9481,-83.0369
584091,2015-07-13,2015-07-13,1630,1800,37.85,-82.82,37.853,-82.8144
597534,2015-07-13,2015-07-13,1635,1730,37.81,-82.7997,37.8077,-82.797
584300,2015-07-14,2015-07-14,29,29,38.53,-85.21,38.5168,-85.2251
584304,2015-07-14,2015-07-14,30,30,38.6393,-85.4021,38.6508,-85.3924
584310,2015-07-14,2015-07-14,35,35,38.6312,-85.3336,38.6377,-85.3054
584312,2015-07-14,2015-07-14,35,35,38.61,-85.28,38.6062,-85.277
590159,2015-07-14,2015-07-14,140,240,38.68,-85.16,38.6566,-85.166
584319,2015-07-14,2015-07-14,219,219,38.5086,-85.2797,38.5055,-85.2685
584322,2015-07-14,2015-07-14,247,247,38.61,-85.26,38.6105,-85.2675
590165,2015-07-14,2015-07-14,340,410,38.5963,-85.1827,38.5962,-85.1814
584998,2015-07-14,2015-07-14,415,415,38.33,-85.56,38.3301,-85.572
584999,2015-07-14,2015-07-14,420,420,38.1,-85.37,38.1047,-85.3743
