event_id,nlcd_code,nlcd_class,elevation_m,impervious_surface_pct
564702,24,"Developed, High Intensity",149.975,83
564703,24,"Developed, High Intensity",140.396,84
564704,21,"Developed, Open Space",236.4,0
564706,21,"Developed, Open Space",209.8,0
564705,24,"Developed, High Intensity",142.241,88
564707,22,"Developed, Low Intensity",139.555,45
566660,41,Deciduous Forest,188.984,0
564708,24,"Developed, High Intensity",145.13,81
566661,41,Deciduous Forest,266.673,0
566663,21,"Developed, Open Space",202.078,6
566666,81,Pasture/Hay,205.748,0
566669,41,Deciduous Forest,302.682,0
566664,81,Pasture/Hay,192.636,0
566673,21,"Developed, Open Space",287.421,11
566675,41,Deciduous Forest,338.482,0
566683,21,"Developed, Open Space",223.7,0
566685,41,Deciduous Forest,350.481,0
566698,41,Deciduous Forest,285.504,0
566699,41,Deciduous Forest,298.035,0
566700,41,Deciduous Forest,324.33,0
566701,23,"Developed, Medium Intensity",201.476,75
566703,41,Deciduous Forest,377.938,0
566704,81,Pasture/Hay,367.847,0
566747,43,Mixed Forest,214.267,0
566706,41,Deciduous Forest,212.899,0
566707,43,Mixed Forest,228.172,0
564709,41,Deciduous Forest,138.01,0
564714,21,"Developed, Open Space",130.833,8
566717,41,Deciduous Forest,473.682,0
569334,11,Open Water,184.953,0
566716,41,Deciduous Forest,374.15,0
564712,22,"Developed, Low Intensity",139.488,42
564711,23,"Developed, Medium Intensity",296.016,67
564710,81,Pasture/Hay,147.42,0
564716,81,Pasture/Hay,216.069,0
564715,21,"Developed, Open Space",221.766,4
564713,81,Pasture/Hay,280.545,0
569325,41,Deciduous Forest,323.976,0
569329,21,"Developed, Open Space",219.146,0
564720,81,Pasture/Hay,149.698,0
564718,82,Cultivated Crops,185.609,0
564717,81,Pasture/Hay,372.429,0
564719,81,Pasture/Hay,222.219,0
564721,81,Pasture/Hay,153.624,0
566719,41,Deciduous Forest,201.166,0
566720,82,Cultivated Crops,292.638,0
566721,22,"Developed, Low Intensity",304.116,21
566725,24,"Developed, High Intensity",232.571,84
566727,81,Pasture/Hay,271.21,0
566726,41,Deciduous Forest,261.817,0
558324,41,Deciduous Forest,305.002,0
569343,23,"Developed, Medium Intensity",326.669,75
569346,41,Deciduous Forest,327.398,0
569347,23,"Developed, Medium Intensity",303.182,65
564734,81,Pasture/Hay,151.513,0
569335,81,Pasture/Hay,191.108,0
569336,90,Woody Wetlands,188.976,0
569337,82,Cultivated Crops,190.804,0
569338,41,Deciduous Forest,356.309,0
565631,21,"Developed, Open Space",167.962,0
570937,22,"Developed, Low Intensity",230.065,34
570936,82,Cultivated Crops,175.783,0
582701,41,Deciduous Forest,421.877,0
575804,23,"Developed, Medium Intensity",140.215,79
575808,21,"Developed, Open Space",265.508,11
579525,11,Open Water,109.728,0
576534,22,"Developed, Low Intensity",134.319,32
576536,21,"Developed, Open Space",256.274,8
576537,22,"Developed, Low Intensity",290.346,37
576538,41,Deciduous Forest,267.291,0
579552,82,Cultivated Crops,114.474,0
579557,41,Deciduous Forest,157.394,0
579554,82,Cultivated Crops,111.349,0
574805,41,Deciduous Forest,230.022,0
583509,81,Pasture/Hay,322.37,0
583510,82,Cultivated Crops,284.947,0
583512,22,"Developed, Low Intensity",333.669,48
583635,81,Pasture/Hay,134.471,0
583637,81,Pasture/Hay,220.848,0
583638,81,Pasture/Hay,230.858,0
583639,81,Pasture/Hay,225.622,0
583526,41,Deciduous Forest,311.627,0
583569,23,"Developed, Medium Intensity",357.648,41
583547,41,Deciduous Forest,207.609,0
583553,21,"Developed, Open Space",385.036,9
583640,21,"Developed, Open Space",247.734,15
583556,21,"Developed, Open Space",350.395,10
583559,81,Pasture/Hay,210.622,0
583560,81,Pasture/Hay,242.017,0
583641,81,Pasture/Hay,138.852,0
583642,41,Deciduous Forest,183.606,0
583643,21,"Developed, Open Space",302.585,10
588933,41,Deciduous Forest,141.947,0
583644,41,Deciduous Forest,275.705,0
583645,23,"Developed, Medium Intensity",278.785,56
583646,21,"Developed, Open Space",216.518,11
583647,82,Cultivated Crops,215.063,0
575665,71,Grassland/Herbaceous,308.24,0
588935,81,Pasture/Hay,138.096,0
585376,81,Pasture/Hay,223.389,0
585379,23,"Developed, Medium Intensity",129.81,57
583564,81,Pasture/Hay,392.532,0
583834,81,Pasture/Hay,328.04,0
583839,22,"Developed, Low Intensity",361.875,43
581228,22,"Developed, Low Intensity",207.66,0
581230,81,Pasture/Hay,188.728,0
581231,82,Cultivated Crops,204.669,0
581232,41,Deciduous Forest,201.221,0
581233,81,Pasture/Hay,194.934,0
581235,22,"Developed, Low Intensity",214.659,21
581236,21,"Developed, Open Space",225.522,8
581238,81,Pasture/Hay,191.765,0
581239,81,Pasture/Hay,212.092,0
583840,41,Deciduous Forest,405.312,0
583841,41,Deciduous Forest,363.395,0
583842,41,Deciduous Forest,211.38,0
583849,41,Deciduous Forest,386.949,0
588613,82,Cultivated Crops,112.304,0
597503,81,Pasture/Hay,294.522,0
583853,22,"Developed, Low Intensity",299.598,21
597505,41,Deciduous Forest,292.716,0
587368,82,Cultivated Crops,142.893,0
577453,81,Pasture/Hay,255.62,0
581785,81,Pasture/Hay,273.173,0
581787,22,"Developed, Low Intensity",134.928,40
581788,21,"Developed, Open Space",242.235,13
581789,41,Deciduous Forest,143.499,0
581791,24,"Developed, High Intensity",170.177,29
581793,82,Cultivated Crops,232.55,0
581797,21,"Developed, Open Space",176.995,15
581799,22,"Developed, Low Intensity",204.11,40
581801,22,"Developed, Low Intensity",180.147,0
581802,22,"Developed, Low Intensity",191.674,0
581805,24,"Developed, High Intensity",162.177,86
581809,22,"Developed, Low Intensity",231.469,33
