EVENT_ID,BEGIN_DATE,END_DATE,BEGIN_TIME,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,NLCD_CODE,NLCD_CLASS,ELEVATION_M,IMPERVIOUS_SURFACE_PCT
564702,4/3/2015,4/3/2015,348,348,38.15,-85.66,38.1536,-85.6547,24,"Developed, High Intensity",149.975,83
564703,4/3/2015,4/3/2015,354,354,38.16,-85.7,38.1633,-85.6969,24,"Developed, High Intensity",140.396,84
564704,4/3/2015,4/3/2015,400,400,38.0229,-84.8866,38.0243,-84.8836,21,"Developed, Open Space",236.4,0
564706,4/3/2015,4/3/2015,400,400,38.0994,-85.3742,38.1038,-85.3727,21,"Developed, Open Space",209.8,0
564705,4/3/2015,4/3/2015,400,400,38.23,-85.78,38.2296,-85.7792,24,"Developed, High Intensity",142.241,88
564707,4/3/2015,4/3/2015,427,427,38.2238,-85.7295,38.2257,-85.7293,22,"Developed, Low Intensity",139.555,45
566660,4/3/2015,4/3/2015,430,645,37.86,-83.93,37.8498,-83.935,41,Deciduous Forest,188.984,0
564708,4/3/2015,4/3/2015,522,522,38.21,-85.67,38.2107,-85.6669,24,"Developed, High Intensity",145.13,81
566661,4/3/2015,4/3/2015,525,625,37.65,-83.47,37.6545,-83.4682,41,Deciduous Forest,266.673,0
566663,4/3/2015,4/3/2015,545,830,37.6892,-83.8588,37.6886,-83.8589,21,"Developed, Open Space",202.078,6
566666,4/3/2015,4/3/2015,545,830,37.7374,-83.9628,37.7396,-83.9607,81,Pasture/Hay,205.748,0
566669,4/3/2015,4/3/2015,545,645,37.77,-83.68,37.7749,-83.6803,41,Deciduous Forest,302.682,0
566664,4/3/2015,4/3/2015,545,830,37.66,-83.83,37.66,-83.8258,81,Pasture/Hay,192.636,0
566673,4/3/2015,4/3/2015,605,830,37.6,-83.61,37.5889,-83.6125,21,"Developed, Open Space",287.421,11
566675,4/3/2015,4/3/2015,630,1119,37.66,-83.15,37.6562,-83.1394,41,Deciduous Forest,338.482,0
566683,4/3/2015,4/3/2015,645,922,37.6,-83.46,37.6061,-83.4631,21,"Developed, Open Space",223.7,0
566685,4/3/2015,4/3/2015,655,923,37.57,-83.51,37.5691,-83.5373,41,Deciduous Forest,350.481,0
566698,4/3/2015,4/3/2015,715,1119,37.69,-82.86,37.702,-82.8531,41,Deciduous Forest,285.504,0
566699,4/3/2015,4/3/2015,730,1119,37.57,-82.83,37.5764,-82.8177,41,Deciduous Forest,298.035,0
566700,4/3/2015,4/3/2015,730,922,37.74,-83.33,37.7475,-83.3348,41,Deciduous Forest,324.33,0
566701,4/3/2015,4/3/2015,750,923,37.71,-83.97,37.7072,-83.9716,23,"Developed, Medium Intensity",201.476,75
566703,4/3/2015,4/3/2015,757,923,37.49,-84.12,37.4796,-84.1189,41,Deciduous Forest,377.938,0
566704,4/3/2015,4/3/2015,807,923,37.48,-84.13,37.4879,-84.13,81,Pasture/Hay,367.847,0
566747,4/3/2015,4/3/2015,830,922,37.6598,-83.8171,37.6219,-83.8216,43,Mixed Forest,214.267,0
566706,4/3/2015,4/3/2015,830,923,37.69,-82.86,37.695,-82.861,41,Deciduous Forest,212.899,0
566707,4/3/2015,4/3/2015,845,923,37.48,-83.65,37.4798,-83.6591,43,Mixed Forest,228.172,0
564709,4/3/2015,4/3/2015,848,848,37.8162,-86.4244,37.8165,-86.4211,41,Deciduous Forest,138.01,0
564714,4/3/2015,4/3/2015,848,848,37.6028,-86.9142,37.5977,-86.9093,21,"Developed, Open Space",130.833,8
566717,4/3/2015,4/3/2015,900,1119,37.49,-82.36,37.4772,-82.3578,41,Deciduous Forest,473.682,0
569334,4/3/2015,4/3/2015,900,930,37.67,-82.78,37.681,-82.7816,11,Open Water,184.953,0
566716,4/3/2015,4/3/2015,900,1119,37.47,-82.5,37.449,-82.4929,41,Deciduous Forest,374.15,0
564712,4/3/2015,4/3/2015,948,948,38.1493,-85.7667,38.1222,-85.7504,22,"Developed, Low Intensity",139.488,42
564711,4/3/2015,4/3/2015,948,948,38.0426,-84.512,38.0413,-84.5115,23,"Developed, Medium Intensity",296.016,67
564710,4/3/2015,4/3/2015,948,948,38.0305,-85.8091,38.0294,-85.8081,81,Pasture/Hay,147.42,0
564716,4/3/2015,4/3/2015,948,948,38.1023,-85.3699,38.1036,-85.3669,81,Pasture/Hay,216.069,0
564715,4/3/2015,4/3/2015,948,948,38.22,-85.23,38.2207,-85.2243,21,"Developed, Open Space",221.766,4
564713,4/3/2015,4/3/2015,948,948,37.8217,-84.3291,37.8221,-84.3252,81,Pasture/Hay,280.545,0
569325,4/3/2015,4/3/2015,1100,1145,37.4467,-82.8661,37.4247,-82.885,41,Deciduous Forest,323.976,0
569329,4/3/2015,4/3/2015,1100,1115,37.5312,-82.5845,37.5261,-82.579,21,"Developed, Open Space",219.146,0
564720,4/3/2015,4/3/2015,1153,1153,38.6076,-85.2676,38.6049,-85.2635,81,Pasture/Hay,149.698,0
564718,4/3/2015,4/3/2015,1153,1153,37.926,-86.3098,37.9299,-86.3047,82,Cultivated Crops,185.609,0
564717,4/3/2015,4/3/2015,1153,1153,37.2242,-84.7511,37.2317,-84.7558,81,Pasture/Hay,372.429,0
564719,4/3/2015,4/3/2015,1153,1153,38.3549,-85.3913,38.3563,-85.3879,81,Pasture/Hay,222.219,0
564721,4/3/2015,4/3/2015,1306,1306,38.3075,-84.8295,38.307,-84.8171,81,Pasture/Hay,153.624,0
