event_id,date,oni_season,oni_anomaly,enso_phase
564702,2015-04-01,MAM,0.81,El Nino
564703,2015-04-01,MAM,0.81,El Nino
564704,2015-04-01,MAM,0.81,El Nino
564706,2015-04-01,MAM,0.81,El Nino
564705,2015-04-01,MAM,0.81,El Nino
564707,2015-04-01,MAM,0.81,El Nino
566660,2015-04-01,MAM,0.81,El Nino
564708,2015-04-01,MAM,0.81,El Nino
566661,2015-04-01,MAM,0.81,El Nino
566663,2015-04-01,MAM,0.81,El Nino
566666,2015-04-01,MAM,0.81,El Nino
566669,2015-04-01,MAM,0.81,El Nino
566664,2015-04-01,MAM,0.81,El Nino
566673,2015-04-01,MAM,0.81,El Nino
566675,2015-04-01,MAM,0.81,El Nino
566683,2015-04-01,MAM,0.81,El Nino
566685,2015-04-01,MAM,0.81,El Nino
566698,2015-04-01,MAM,0.81,El Nino
566699,2015-04-01,MAM,0.81,El Nino
566700,2015-04-01,MAM,0.81,El Nino
566701,2015-04-01,MAM,0.81,El Nino
566703,2015-04-01,MAM,0.81,El Nino
566704,2015-04-01,MAM,0.81,El Nino
566747,2015-04-01,MAM,0.81,El Nino
566706,2015-04-01,MAM,0.81,El Nino
566707,2015-04-01,MAM,0.81,El Nino
564709,2015-04-01,MAM,0.81,El Nino
564714,2015-04-01,MAM,0.81,El Nino
566717,2015-04-01,MAM,0.81,El Nino
569334,2015-04-01,MAM,0.81,El Nino
566716,2015-04-01,MAM,0.81,El Nino
564712,2015-04-01,MAM,0.81,El Nino
564711,2015-04-01,MAM,0.81,El Nino
564710,2015-04-01,MAM,0.81,El Nino
564716,2015-04-01,MAM,0.81,El Nino
564715,2015-04-01,MAM,0.81,El Nino
564713,2015-04-01,MAM,0.81,El Nino
569325,2015-04-01,MAM,0.81,El Nino
569329,2015-04-01,MAM,0.81,El Nino
564720,2015-04-01,MAM,0.81,El Nino
564718,2015-04-01,MAM,0.81,El Nino
564717,2015-04-01,MAM,0.81,El Nino
564719,2015-04-01,MAM,0.81,El Nino
564721,2015-04-01,MAM,0.81,El Nino
566719,2015-04-01,MAM,0.81,El Nino
566720,2015-04-01,MAM,0.81,El Nino
566721,2015-04-01,MAM,0.81,El Nino
566725,2015-04-01,MAM,0.81,El Nino
566727,2015-04-01,MAM,0.81,El Nino
566726,2015-04-01,MAM,0.81,El Nino
558324,2015-04-01,MAM,0.81,El Nino
569343,2015-04-01,MAM,0.81,El Nino
569346,2015-04-01,MAM,0.81,El Nino
569347,2015-04-01,MAM,0.81,El Nino
564734,2015-04-01,MAM,0.81,El Nino
569335,2015-04-01,MAM,0.81,El Nino
569336,2015-04-01,MAM,0.81,El Nino
569337,2015-04-01,MAM,0.81,El Nino
569338,2015-04-01,MAM,0.81,El Nino
565631,2015-04-01,MAM,0.81,El Nino
570937,2015-05-01,AMJ,1.02,El Nino
570936,2015-05-01,AMJ,1.02,El Nino
582701,2015-06-01,MJJ,1.25,El Nino
575804,2015-06-01,MJJ,1.25,El Nino
575808,2015-06-01,MJJ,1.25,El Nino
579525,2015-06-01,MJJ,1.25,El Nino
576534,2015-06-01,MJJ,1.25,El Nino
576536,2015-06-01,MJJ,1.25,El Nino
576537,2015-06-01,MJJ,1.25,El Nino
576538,2015-06-01,MJJ,1.25,El Nino
579552,2015-06-01,MJJ,1.25,El Nino
579557,2015-06-01,MJJ,1.25,El Nino
579554,2015-06-01,MJJ,1.25,El Nino
