event_id,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
564702,0.43075252,0.44550002,0.42008328,0.46241668,49.07589,57.68765,46.5614,54.8264
564703,0.3938404,0.4252917,0.38062498,0.42866668,48.67565,57.29675,46.13675,54.506752
564704,0.37290046,0.42779168,0.353875,0.4198333,48.227974,57.288948,45.5552,54.371452
564706,0.38583252,0.42625,0.36974993,0.42749998,48.192574,57.29135,45.47885,54.463856
564705,0.43630424,0.45066667,0.42641667,0.46541664,48.9212,57.4982,46.416946,54.6482
564707,0.3938404,0.4252917,0.38062498,0.42866668,48.60545,57.226555,46.06655,54.436554
566660,0.3624742,0.41641665,0.34720835,0.39683333,49.167274,58.50995,46.47245,55.29245
564708,0.3938404,0.4252917,0.38062498,0.42866668,48.60545,57.226555,46.06655,54.436554
566661,0.43822423,0.46904162,0.42704168,0.46629158,49.169563,58.847603,46.56635,54.86885
566663,0.35917124,0.40399995,0.34904167,0.3789583,49.390137,58.94285,46.680347,55.496597
566666,0.35953417,0.4079167,0.34808338,0.38266668,49.351215,58.87625,46.6325,55.4975
566669,0.3840238,0.42625,0.37220833,0.41045836,47.909786,57.3788,45.2588,53.842556
566664,0.35951462,0.40595832,0.3484167,0.38208333,49.876102,59.400803,47.18705,55.9208
566673,0.44254127,0.478375,0.43275002,0.46416667,48.983192,58.755047,46.3763,54.663803
566675,0.36037502,0.39412498,0.35570827,0.36512497,48.635376,58.3745,45.9395,54.631996
566683,0.43175545,0.46179166,0.4245833,0.44633332,49.5215,59.307198,46.90595,55.2272
566685,0.43175545,0.46179166,0.4245833,0.44633332,49.2056,58.9913,46.59005,54.9113
566698,0.36420918,0.3882917,0.36249998,0.36204168,49.648552,59.5175,46.9175,55.7225
566699,0.36412337,0.37383333,0.36520827,0.35716665,48.235138,58.283302,45.47705,54.34205
566700,0.38447833,0.41945836,0.37699997,0.39845827,48.567764,58.272354,45.89735,54.4886
566701,0.35953417,0.4079167,0.34808338,0.38266668,49.257614,58.78265,46.5389,55.4039
566703,0.35999337,0.40608335,0.35149992,0.37375,48.17653,57.75365,45.49115,54.191147
566704,0.35999337,0.40608335,0.35149992,0.37375,47.907425,57.48455,45.22205,53.922047
566747,0.35951462,0.40595832,0.3484167,0.38208333,49.3847,58.9094,46.69565,55.429398
566706,0.36420918,0.3882917,0.36249998,0.36204168,49.648552,59.5175,46.9175,55.7225
566707,0.4349254,0.4709166,0.42850006,0.44495836,49.438698,59.408455,46.80845,55.13345
564709,0.4648954,0.4779166,0.45291662,0.50162494,50.083252,58.88525,47.39525,56.365253
564714,0.4403392,0.45879164,0.4289584,0.47320834,50.956585,59.13815,48.3644,57.1169
566717,0.35777918,0.36704168,0.35658327,0.35879162,47.30615,57.6548,44.484802,53.5298
569334,0.3641921,0.38570833,0.36295828,0.36125,50.07744,59.956398,47.3414,56.16515
