EVENT_ID,BEGIN_DATE,END_DATE,BEGIN_TIME,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TEMP_MAX_F,TEMP_MIN_F,TEMP_MEAN_F,SUNRISE,SUNSET,PRECIP_SUM_IN,RAIN_SUM_IN,PRECIP_HOURS,MAX_WIND_MPH,MAX_GUST_MPH
564702,2015-04-03,2015-04-03,348,348,38.15,-85.66,38.1536,-85.6547,68.8289,48.6689,59.7839,2015-04-03 11:24:30,2015-04-04 00:07:03,2.070866,2.070866,21.0,12.908866,35.5683
564703,2015-04-03,2015-04-03,354,354,38.16,-85.7,38.1633,-85.6969,68.445496,48.5555,59.56925,2015-04-03 11:24:59,2015-04-04 00:07:33,2.070866,2.070866,21.0,12.908866,35.5683
564704,2015-04-03,2015-04-03,400,400,38.0229,-84.8866,38.0243,-84.8836,68.2502,48.5402,59.313946,2015-04-03 11:21:45,2015-04-04 00:04:06,2.7362201,2.7362201,22.0,13.81155,37.805298
564706,2015-04-03,2015-04-03,400,400,38.0994,-85.3742,38.1038,-85.3727,67.4726,48.3026,59.098854,2015-04-03 11:23:36,2015-04-04 00:06:04,2.814961,2.814961,21.0,14.675811,36.9105
564705,2015-04-03,2015-04-03,400,400,38.23,-85.78,38.2296,-85.7792,68.7857,48.4457,59.49695,2015-04-03 11:24:55,2015-04-04 00:07:34,2.070866,2.070866,21.0,12.908866,35.5683
564707,2015-04-03,2015-04-03,427,427,38.2238,-85.7295,38.2257,-85.7293,68.3753,48.485302,59.49905,2015-04-03 11:24:55,2015-04-04 00:07:34,2.070866,2.070866,21.0,12.908866,35.5683
566660,2015-04-03,2015-04-03,430,645,37.86,-83.93,37.8498,-83.935,66.8462,49.2962,60.9212,2015-04-03 11:18:02,2015-04-04 00:00:12,1.2204726,1.2204726,22.0,16.256388,46.0822
564708,2015-04-03,2015-04-03,522,522,38.21,-85.67,38.2107,-85.6669,68.3753,48.485302,59.49905,2015-04-03 11:24:26,2015-04-04 00:07:05,2.070866,2.070866,21.0,12.908866,35.5683
566661,2015-04-03,2015-04-03,525,625,37.65,-83.47,37.6545,-83.4682,69.2501,51.2501,61.8401,2015-04-03 11:16:21,2015-04-03 23:58:14,0.96062994,0.96062994,21.0,14.607455,44.5163
566663,2015-04-03,2015-04-03,545,830,37.6892,-83.8588,37.6886,-83.8589,69.754105,49.4141,61.8116,2015-04-03 11:17:43,2015-04-03 23:59:41,1.0984251,1.0984251,22.0,14.718371,44.9637
566666,2015-04-03,2015-04-03,545,830,37.7374,-83.9628,37.7396,-83.9607,70.475,49.325,61.6775,2015-04-03 11:18:12,2015-04-04 00:00:10,1.2204726,1.2204726,22.0,16.256388,46.0822
566669,2015-04-03,2015-04-03,545,645,37.77,-83.68,37.7749,-83.6803,66.34129,47.8013,60.03005,2015-04-03 11:17:09,2015-04-03 23:59:13,1.0984251,1.0984251,22.0,14.718371,44.9637
566664,2015-04-03,2015-04-03,545,830,37.66,-83.83,37.66,-83.8258,69.9008,49.8308,62.337055,2015-04-03 11:17:48,2015-04-03 23:59:41,1.0984251,1.0984251,22.0,14.718371,44.9637
566673,2015-04-03,2015-04-03,605,830,37.6,-83.61,37.5889,-83.6125,70.031296,50.5013,61.96505,2015-04-03 11:16:55,2015-04-03 23:58:42,0.511811,0.511811,14.0,15.409343,46.0822
566675,2015-04-03,2015-04-03,630,1119,37.66,-83.15,37.6562,-83.1394,69.19701,52.186996,61.667,2015-04-03 11:14:55,2015-04-03 23:56:48,0.8858269,0.8858269,21.0,15.237894,46.977
566683,2015-04-03,2015-04-03,645,922,37.6,-83.46,37.6061,-83.4631,70.7297,51.9197,62.55845,2015-04-03 11:16:26,2015-04-03 23:58:13,0.511811,0.511811,14.0,15.409343,46.0822
566685,2015-04-03,2015-04-03,655,923,37.57,-83.51,37.5691,-83.5373,70.4138,51.603798,62.24255,2015-04-03 11:16:26,2015-04-03 23:58:13,0.511811,0.511811,14.0,15.409343,46.0822
566698,2015-04-03,2015-04-03,715,1119,37.69,-82.86,37.702,-82.8531,70.6775,54.2075,62.945,2015-04-03 11:13:52,2015-04-03 23:55:50,0.7204725,0.7204725,16.0,14.770977,46.7533
566699,2015-04-03,2015-04-03,730,1119,37.57,-82.83,37.5764,-82.8177,69.9008,53.700798,61.8683,2015-04-03 11:13:33,2015-04-03 23:55:20,0.4094488,0.4094488,12.0,15.480621,45.8585
566700,2015-04-03,2015-04-03,730,922,37.74,-83.33,37.7475,-83.3348,69.1736,51.3536,61.444847,2015-04-03 11:15:47,2015-04-03 23:57:46,0.8858269,0.8858269,21.0,15.237894,46.977
566701,2015-04-03,2015-04-03,750,923,37.71,-83.97,37.7072,-83.9716,70.3814,49.2314,61.5839,2015-04-03 11:18:12,2015-04-04 00:00:10,1.2204726,1.2204726,22.0,16.256388,46.0822
566703,2015-04-03,2015-04-03,757,923,37.49,-84.12,37.4796,-84.1189,70.73241,47.692398,60.7724,2015-04-03 11:18:55,2015-04-04 00:00:37,0.72834647,0.72834647,19.0,15.794233,46.977
566704,2015-04-03,2015-04-03,807,923,37.48,-84.13,37.4879,-84.13,70.4633,47.423298,60.503304,2015-04-03 11:18:55,2015-04-04 00:00:37,0.92913395,0.92913395,21.0,15.582114,47.2007
566747,2015-04-03,2015-04-03,830,922,37.6598,-83.8171,37.6219,-83.8216,69.4094,49.3394,61.84565,2015-04-03 11:17:48,2015-04-03 23:59:41,1.0984251,1.0984251,22.0,14.718371,44.9637
566706,2015-04-03,2015-04-03,830,923,37.69,-82.86,37.695,-82.861,70.6775,54.2075,62.945,2015-04-03 11:13:52,2015-04-03 23:55:50,0.7204725,0.7204725,16.0,14.770977,46.7533
566707,2015-04-03,2015-04-03,845,923,37.48,-83.65,37.4798,-83.6591,71.5172,51.9872,62.8397,2015-04-03 11:17:00,2015-04-03 23:58:41,0.6062993,0.6062993,17.0,14.818332,44.739998
564709,2015-04-03,2015-04-03,848,848,37.8162,-86.4244,37.8165,-86.4211,69.2465,48.726498,60.059006,2015-04-03 11:27:45,2015-04-04 00:09:50,2.7322829,2.7322829,21.0,12.22393,36.9105
564714,2015-04-03,2015-04-03,848,848,37.6028,-86.9142,37.5977,-86.9093,69.7919,49.2719,60.4394,2015-04-03 11:29:52,2015-04-04 00:11:40,2.5511816,2.5511816,20.0,14.962838,42.7267
566717,2015-04-03,2015-04-03,900,1119,37.49,-82.36,37.4772,-82.3578,70.337296,55.9373,61.44605,2015-04-03 11:11:44,2015-04-03 23:53:25,0.37007874,0.37007874,12.0,15.006251,45.4111
569334,2015-04-03,2015-04-03,900,930,37.67,-82.78,37.681,-82.7816,71.5064,55.0364,63.3989,2015-04-03 11:13:28,2015-04-03 23:55:21,0.7204725,0.7204725,16.0,14.770977,46.7533
566716,2015-04-03,2015-04-03,900,1119,37.47,-82.5,37.449,-82.4929,71.7845,56.844498,63.09575,2015-04-03 11:12:17,2015-04-03 23:53:53,0.37401575,0.37401575,11.0,16.311703,45.4111
564712,2015-04-03,2015-04-03,948,948,38.1493,-85.7667,38.1222,-85.7504,69.0476,48.6176,59.747597,2015-04-03 11:24:59,2015-04-04 00:07:33,2.070866,2.070866,21.0,12.908866,35.5683
564711,2015-04-03,2015-04-03,948,948,38.0426,-84.512,38.0413,-84.5115,66.4151,48.1451,59.046352,2015-04-03 11:20:13,2015-04-04 00:02:40,2.4724412,2.4724412,22.0,15.698895,38.2527
564710,2015-04-03,2015-04-03,948,948,38.0305,-85.8091,38.0294,-85.8081,69.3725,48.7625,59.89625,2015-04-03 11:25:08,2015-04-04 00:07:30,2.7913387,2.7913387,21.0,14.165704,34.4498
564716,2015-04-03,2015-04-03,948,948,38.1023,-85.3699,38.1036,-85.3669,67.6247,48.4547,59.25095,2015-04-03 11:23:32,2015-04-04 00:06:05,2.814961,2.814961,21.0,14.675811,36.9105
564715,2015-04-03,2015-04-03,948,948,38.22,-85.23,38.2207,-85.2243,67.6787,48.5087,59.038704,2015-04-03 11:22:59,2015-04-04 00:05:37,2.523622,2.523622,21.0,15.109274,37.581596
564713,2015-04-03,2015-04-03,948,948,37.8217,-84.3291,37.8221,-84.3252,68.8775,48.3575,59.9825,2015-04-03 11:19:29,2015-04-04 00:01:39,1.405512,1.405512,22.0,15.107619,44.9637
569325,2015-04-03,2015-04-03,1100,1145,37.4467,-82.8661,37.4247,-82.885,69.6605,54.1805,61.939247,2015-04-03 11:13:44,2015-04-03 23:55:20,0.4094488,0.4094488,12.0,15.480621,45.8585
569329,2015-04-03,2015-04-03,1100,1115,37.5312,-82.5845,37.5261,-82.579,71.7926,56.4026,63.253853,2015-04-03 11:12:41,2015-04-03 23:54:22,0.37401575,0.37401575,11.0,16.311703,45.4111
564720,2015-04-03,2015-04-03,1153,1153,38.6076,-85.2676,38.6049,-85.2635,66.3026,48.8426,59.1101,2015-04-03 11:22:32,2015-04-04 00:05:45,1.8622046,1.8622046,21.0,13.749818,35.792
