event_id,maxtemp_f,mintemp_f,avgtemp_f,maxwind_mph,totalprecip_in,avgvis_miles,avghumidity,uv,daily_will_it_rain,daily_chance_of_rain,condition_text
564702,66.6,45.3,58.9,13.9,2.19,4.0,95,2.7,1,100,Moderate or heavy rain shower
564703,66.6,45.3,58.9,13.9,2.19,4.0,95,2.7,1,100,Moderate or heavy rain shower
564704,66.2,45.4,59.1,17.7,2.67,4.0,96,1.3,1,100,Moderate or heavy rain shower
564706,65.5,45.0,58.7,15.4,2.65,3.0,95,1.9,1,100,Moderate or heavy rain shower
564705,66.9,44.8,58.2,13.0,2.03,4.0,95,2.7,1,100,Moderate or heavy rain shower
564707,66.6,45.3,58.9,13.9,2.19,4.0,95,2.7,1,100,Moderate or heavy rain shower
566660,66.0,46.0,59.7,12.3,1.33,3.0,96,1.0,1,100,Moderate or heavy rain shower
564708,66.4,45.0,58.8,14.1,1.97,5.0,95,2.4,1,100,Moderate or heavy rain shower
566661,68.0,46.7,60.3,15.0,0.88,3.0,95,1.0,1,100,Moderate or heavy rain shower
566663,64.8,44.1,59.1,13.2,1.22,3.0,95,1.1,1,100,Moderate or heavy rain shower
566666,64.8,44.1,59.1,13.2,1.22,3.0,95,1.1,1,100,Moderate or heavy rain shower
566669,66.0,46.0,59.7,12.3,1.33,3.0,96,1.1,1,100,Moderate or heavy rain shower
566664,64.8,44.1,59.1,13.2,1.22,3.0,95,1.1,1,100,Moderate or heavy rain shower
566673,67.3,45.9,60.2,13.2,1.0,3.0,95,1.2,1,100,Moderate or heavy rain shower
566675,66.6,45.0,60.0,15.0,1.18,3.0,95,1.1,1,100,Moderate or heavy rain shower
566683,68.0,46.7,60.3,15.0,0.88,3.0,95,1.0,1,100,Moderate or heavy rain shower
566685,68.0,46.7,60.3,15.0,0.88,3.0,95,1.0,1,100,Moderate or heavy rain shower
566698,68.3,48.3,61.2,15.2,1.31,3.0,95,1.3,1,100,Moderate or heavy rain shower
566699,68.3,48.3,61.2,15.2,1.31,3.0,95,1.3,1,100,Moderate or heavy rain shower
566700,68.0,46.7,60.3,15.0,0.88,3.0,95,1.0,1,100,Moderate or heavy rain shower
566701,64.8,44.1,59.1,13.2,1.22,3.0,95,1.1,1,100,Moderate or heavy rain shower
566703,68.0,46.3,60.0,13.2,1.06,3.0,95,1.2,1,100,Moderate or heavy rain shower
566704,68.0,46.3,60.0,13.2,1.06,3.0,95,1.2,1,100,Moderate or heavy rain shower
566747,64.8,44.1,59.1,13.2,1.22,3.0,95,1.1,1,100,Moderate or heavy rain shower
566706,68.3,48.3,61.2,15.2,1.31,3.0,95,1.3,1,100,Moderate or heavy rain shower
566707,67.3,45.9,60.2,13.2,1.0,3.0,95,1.2,1,100,Moderate or heavy rain shower
564709,66.1,44.0,58.7,13.4,2.55,4.0,96,3.2,1,100,Moderate or heavy rain shower
564714,67.8,45.6,59.7,16.6,2.56,3.0,93,2.7,1,100,Moderate or heavy rain shower
566717,70.0,50.9,61.7,13.4,0.93,3.0,94,1.4,1,100,Moderate or heavy rain shower
569334,68.3,48.3,61.2,15.2,1.31,3.0,95,1.3,1,100,Moderate or heavy rain shower
566716,70.0,50.9,61.7,13.4,0.93,3.0,94,1.4,1,100,Moderate or heavy rain shower
564712,66.6,45.3,58.9,13.9,2.19,4.0,95,2.7,1,100,Moderate or heavy rain shower
564711,66.4,45.0,58.8,14.4,2.66,3.0,96,1.2,1,100,Moderate or heavy rain shower
564710,67.5,45.6,59.7,15.0,2.67,4.0,95,1.9,1,100,Moderate or heavy rain shower
564716,65.5,45.0,58.7,15.4,2.65,3.0,95,1.9,1,100,Moderate or heavy rain shower
564715,65.7,45.4,59.2,16.1,2.62,4.0,95,1.7,1,100,Moderate or heavy rain shower
564713,65.8,45.9,59.7,12.5,1.37,4.0,96,1.1,1,100,Moderate or heavy rain shower
569325,68.3,48.3,61.2,15.2,1.31,3.0,95,1.3,1,100,Moderate or heavy rain shower
569329,70.0,50.9,61.7,13.4,0.93,3.0,94,1.4,1,100,Moderate or heavy rain shower
564720,66.4,45.3,57.9,13.9,1.71,3.0,94,1.8,1,100,Moderate or heavy rain shower
564718,66.1,44.0,58.7,13.4,2.55,4.0,96,3.0,1,100,Moderate or heavy rain shower
564717,71.4,47.8,61.3,13.4,0.73,3.0,95,1.0,1,100,Moderate or heavy rain shower
