EVENT_ID,COUNTY_NAME,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,CZ_TIMEZONE,CZ_FIPS,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,YEAR
564702,JEFFERSON CO.,SMYRNA,2015-04-03,0348,EST-5,111,SMYRNA,2015-04-03,0348,38.15,-85.66,38.1536,-85.6547,2015
564703,JEFFERSON CO.,NEWBURG,2015-04-03,0354,EST-5,111,NEWBURG,2015-04-03,0354,38.16,-85.7,38.1633,-85.6969,2015
564704,ANDERSON CO.,LAWRENCEBURG,2015-04-03,0400,EST-5,5,LAWRENCEBURG,2015-04-03,0400,38.0229,-84.8866,38.0243,-84.8836,2015
564706,SPENCER CO.,ELK CREEK,2015-04-03,0400,EST-5,215,ELK CREEK,2015-04-03,0400,38.0994,-85.3742,38.1038,-85.3727,2015
564705,JEFFERSON CO.,LOUISVILLE,2015-04-03,0400,EST-5,111,LOUISVILLE,2015-04-03,0400,38.23,-85.78,38.2296,-85.7792,2015
564707,JEFFERSON CO.,AUDUBON PARK,2015-04-03,0427,EST-5,111,AUDUBON PARK,2015-04-03,0427,38.2238,-85.7295,38.2257,-85.7293,2015
566660,POWELL CO.,WALTERSVILLE,2015-04-03,0430,EST-5,197,WALTERSVILLE,2015-04-03,0645,37.86,-83.93,37.8498,-83.935,2015
564708,JEFFERSON CO.,(LOU)BOWMAN FLD LOUI,2015-04-03,0522,EST-5,111,(LOU)BOWMAN FLD LOUI,2015-04-03,0522,38.21,-85.67,38.2107,-85.6669,2015
566661,WOLFE CO.,BETHANY,2015-04-03,0525,EST-5,237,BETHANY,2015-04-03,0625,37.65,-83.47,37.6545,-83.4682,2015
566663,ESTILL CO.,PRYSE,2015-04-03,0545,EST-5,65,PRYSE,2015-04-03,0830,37.6892,-83.8588,37.6886,-83.8589,2015
566666,ESTILL CO.,NORTH IRVINE,2015-04-03,0545,EST-5,65,NORTH IRVINE,2015-04-03,0830,37.7374,-83.9628,37.7396,-83.9607,2015
566669,POWELL CO.,NATURAL BRIDGE,2015-04-03,0545,EST-5,197,NATURAL BRIDGE,2015-04-03,0645,37.77,-83.68,37.7749,-83.6803,2015
